date,username,tweet
Sat Jul 15 11:47:52 +0000 2023,SholikhahWiwik,"[Kabar] RUU Kesehatan Disahkan, Pemerhati: Bukti Dedikasi Negara untuk Kapitalisme https://t.co/wKOgcRB6qz"
Sat Jul 15 11:44:11 +0000 2023,adiawae,RUU Kesehatan ini memcangkup juga ttg obat2an ga sih atau farmasi?
Sat Jul 15 11:26:04 +0000 2023,kompascom,IDI menegaskan pihaknya turut membantu dokter diaspora untuk dapat mudah kembali ke Indonesia sebelum RUU Kesehatan disahkan. https://t.co/pnl8DeHI6T
Sat Jul 15 11:17:24 +0000 2023,eksporjahe,Ambu2ne osjur fh ngomongke RUU kesehatan i
Sat Jul 15 10:25:28 +0000 2023,NordickVv,@arisesaja @DrEvaChaniago Kalo begitu anda harus dukung RUU Kesehatan ini karena RUU ini akan membuat IDI tak berkuasa lagi sehingga para dokter Indonesia yg terpaksa kerja diSingapore dll karna tidak diberi izin praktik oleh IDI bisa pulang dan praktik diIndonesia.
Sat Jul 15 10:15:17 +0000 2023,duniatransit,@txtdrbekasi Berterima kasihlah pada dokter @Ngabila yg getol kampanye ruu kesehatan yg baru ini.
Sat Jul 15 10:12:38 +0000 2023,iyal_sepriant0,RUU Kesehatan disahkan DPR: Liberalisasi di sektor kesehatan  #UUKesehatan  Link: https://t.co/l6UdfNO2rr
Sat Jul 15 10:10:35 +0000 2023,tempodotco,"Polemik dan Efek RUU Kesehatan, Menteri Kesehatan: Nakes Asing Tetap Harus Penuhi Sejumlah Syarat #TempoNasional https://t.co/aEm3oA4iqC"
Sat Jul 15 10:04:36 +0000 2023,AgusSug73163688,Saya sebagai rakyat ikut bingung dan puyeng. #Batalkan RUU kesehatan. #Batalkan RUU kesehatan. https://t.co/NrehhCS9Z9 https://t.co/v67YyAmRIz
Sat Jul 15 10:01:28 +0000 2023,rahmatsn,"Teriak tolak ruu kesehatan tapi paling semangat hadir acara nasdem besok,lah nasdem kan salah satu yg mendukung ruu kesehatan,keblinger gak tuh?😁"
Sat Jul 15 09:03:44 +0000 2023,rdr_id,"@Rosianna766Hi mba, makasih atas reportase IDI dan RUU Kesehatan. Objektif banget.  Yg jd pertanyaan, apakah setelah lepas dr IDI, birokrasinya bisa dijamin lbh baik drpd ditangan IDI? Dan produksi dokter akan berkembang."
Sat Jul 15 09:59:19 +0000 2023,YoYoAyo17845,"@idhoen @Marimar_Aauw Pura-pura bloon Nat?  Dari dulu, kalian Khan kritik RUU Omnibus Law kesehatan.  Pasal mana yg anda permasalahkan???"
Sat Jul 15 08:41:55 +0000 2023,ekojhones77,"Keluar kabinet beani gak? wong masih dua kaki koq, koalisi ama oposisi cuma buat pilpres tapi masih koalisi sama pemerintah Jokowi saat ini. Bahkan NasDem paling keras dukung RUU Kesehatan saat oposisi menolak. Surya Paloh dan NasDem gak jelas !"
Sat Jul 15 08:32:03 +0000 2023,yustweet19des22,"@anon_sialan @Kopipait__78 Iya, mereka setara lintah darat. Giliran kita protes RUU Kesehatan, telinga mereka tertutup lintah. Juga mata, mulut, dan saluran pembuangannya.  Bedebah. Wakil rakyat lahir dari turunan lintah?"
Sat Jul 15 08:21:39 +0000 2023,pujatvaceh,IDI Langsa Tolak Aturan RUU Kesehatan Terkait Dokter Asing https://t.co/PyDPfmDY53 via @pujatvaceh
Sat Jul 15 08:10:00 +0000 2023,tanyakanrl,"💚 sender abis baca berita ruu kesehatan, terus agak bingung sama ini. jd kalau enggak merugikan buat diri sendiri gapapa gitu? atau gimana? https://t.co/6p1wc9L3qs"
Sat Jul 15 08:01:02 +0000 2023,dailysocial,Pemerintah sepakat dengan DPR RI mengesahkan RUU Kesehatan untuk akselerasi pemanfaatan teknologi biomedis. Simak penjelasan mengenai biomedis di sini!https://t.co/7f3yKckiGf
Sat Jul 15 07:53:29 +0000 2023,UzumakiYuuki1,"@indrapradana @CNNIndonesia Setelah insiden macam RUU omnibus law, kesehatan, pemblokan steam, program PSE yang g jelas banget manfaat nya, korupsi ugal ugalan, doyan impor beras, jagung, yakin 80 persen puas?"
Sat Jul 15 07:45:02 +0000 2023,PetunjukSehat,Kemenkes Ungkap Alasan Awal RUU Kesehatan Dibentuk: Tingginya Pembiayaan di Bidang Pengobatan https://t.co/AFsDwuWM5D
Sat Jul 15 03:55:47 +0000 2023,stelkendo_ae,@laskarpeningit @Uki23 Udah gitu dukung RUU kesehatan yg menghapus minimum spending 😪
Sat Jul 15 03:53:32 +0000 2023,ulem_,Makasih pak budi @KemenkesRI dkk udah berjuang untuk ruu kesehatan 🙏🏽
Sat Jul 15 03:49:38 +0000 2023,Dikdok_82,@dr_koko28 Menyegarkan lagi ketika RUU Kesehatan di sah kan. Selamat pak dokter semoga bertambah rezeki nya.. 😀👍
Sat Jul 15 03:47:28 +0000 2023,Yahyanovita1,@dr_koko28 Baru paham begitu buruknya wajah dan karakter kelompok terdidik dan terpelajar Indonesia yang menamakan dirinya dari STOVIA... Persoalan besar kalau orang cerdas tidak bisa sabar dan kelihatan emosinya ketika tersinggung egonya karena kalah di RUU kesehatan
Sat Jul 15 03:42:15 +0000 2023,ch_chotimah2,"Moeldoko: Tidak semua dokter tolak UU Kesehatan.  Kantor Staf Presiden (KSP) selama ini tidak pernah menerima aspirasi dari para tenaga kesehatan yang tidak setuju dengan RUU Kesehatan.  @Dr_Moeldoko Yang tidak setuju malah tidak datang ke KSP. Justru yang setuju dari berbagai… https://t.co/WCTulWGhMN"""
Sat Jul 15 03:31:00 +0000 2023,Joglosepur,[KASTRAD NEWS] Pasal Merugikan di Undang-Undang Kesehatan: 1.Praktik kefarmasian bisa dilakukan oleh tenaga non-kefarmasian  2.Obat Tanpa Resep bisa Diperoleh Dari Fasilitas Lain  #RUUKesehatan #Farmasi https://t.co/FEdkRWzTae
Sat Jul 15 03:24:31 +0000 2023,ardan_gibran,@KompasTV Tapi mereka beneran kerja lho min. Contohnya RUU Kesehatan jalan terus.
Sat Jul 15 03:16:11 +0000 2023,NehaJoh58719703,RUU Kesehatan lahirkan sistem pelayanan kesehatan yang lebih baik #IndonesiaMaju #Jokowi https://t.co/sHyZkTmmLI
Sat Jul 15 03:16:06 +0000 2023,nailalalitarahm,RUU Kesehatan lahirkan sistem pelayanan kesehatan yang lebih baik #IndonesiaMaju #Jokowi https://t.co/uSVAJVxMtl
Sat Jul 15 03:15:48 +0000 2023,AndreaW32141241,RUU Kesehatan lahirkan sistem pelayanan kesehatan yang lebih baik #IndonesiaMaju #Jokowi https://t.co/BH2mGya2PC
Sat Jul 15 03:15:23 +0000 2023,NehaJoh58719703,RUU Kesehatan menyederhanakan proses pendidikan dokter spesialis #IndonesiaMaju #Jokowi https://t.co/eEAR4hgL3t
Sat Jul 15 03:15:19 +0000 2023,nailalalitarahm,RUU Kesehatan menyederhanakan proses pendidikan dokter spesialis #IndonesiaMaju #Jokowi https://t.co/oVxF4nsv3e
Sat Jul 15 03:14:59 +0000 2023,AndreaW32141241,RUU Kesehatan menyederhanakan proses pendidikan dokter spesialis #IndonesiaMaju #Jokowi https://t.co/37zyd7Qxqe
Sat Jul 15 03:04:46 +0000 2023,Andre11418869,RUU Kesehatan lahirkan sistem pelayanan kesehatan yang lebih baik #IndonesiaMaju #Jokowi https://t.co/AIXukLeZQv
Sat Jul 15 03:04:39 +0000 2023,Andre11418869,RUU Kesehatan menyederhanakan proses pendidikan dokter spesialis #IndonesiaMaju #Jokowi https://t.co/zxWwDzVIOT
Sat Jul 15 03:00:04 +0000 2023,radarbanjarmsin,"Di tengah penolakan, DPR RI mengesahkan mengesahkan Rancangan Undang-Undang (RUU) Kesehatan (Omnibus Law) menjadi UU, Selasa (11/7) di Jakarta. https://t.co/nUe9IAclhd"
Sat Jul 15 02:41:43 +0000 2023,ngopidisorehari,"@PineksoRoyi1 @DokFun Mending ruu perampasan aset ada surpresnya. RUU kesehatan, surpresnya ghaib 🤭"
Sat Jul 15 02:27:29 +0000 2023,pyurheroine,"Kalo udah begini yg ribet siapa? Nakesnya lah anjiiiirrrr. Mana sekarang RUU Kesehatan udah sah, makin rentan aja profesi nakes"
Sat Jul 15 02:25:05 +0000 2023,putihamidah1,Dalam RUU PRT Pekerja Rumah Tangga harus diberikan jaminan kesehatan dan ketenagakerjaan #Madiun #Nganjuk #jombang #Mojokerto #NganjukKotaAngin #evakusumasundari #evasundari #perempuanberani #RUUPRT https://t.co/ORlbrzD9LH
Sat Jul 15 02:24:43 +0000 2023,embah72,RUU Kesehatan dianggap catatan kelam dalam dunia medis Indonesia oleh IDI. Buat kami rakyat itu berita baik krn memutus mata rantai mafia di dunia kesehatan. Berita itupun jadi angin segar bg para dokter terbaik utk bisa mengabdi tanpa di monopoli IDI. Dokter itu disumpah loh... https://t.co/djejIGeffm
Sat Jul 15 02:22:33 +0000 2023,kaniaeri2,Dalam RUU PRT Pekerja Rumah Tangga harus diberikan jaminan kesehatan dan ketenagakerjaan #Madiun #Nganjuk #jombang #Mojokerto #NganjukKotaAngin #evakusumasundari #evasundari #perempuanberani #RUUPRT https://t.co/CoW0Pw00jA
Sat Jul 15 01:57:11 +0000 2023,panturapost,"RUU Kesehatan Disahkan, Siapa Diuntungkan? https://t.co/a5OHU3vbXS"
Sat Jul 15 01:56:54 +0000 2023,news_wanheart,PKS Beberkan Alasan Penolakan Terhadap RUU Kesehatan  Pagi Pak Anies Presiden 2024 Ezra Narnia Guru BK Kertajati Viagra KDRT Shakira Viagra https://t.co/sdAuxsBODr
Sat Jul 15 01:44:01 +0000 2023,Vegetto__,"Ada nakes yg dukung UU Kesehatan tapi mereka gak tau isi RUU nya apa Cuma ilusi omongan doang. Emang gak pernah belajar dari omongan dollar 10rb, ekonomi meroket dan Esemka jadi mobnas ?  Apa karna mereka (yg dukung) tau klo menjilat itu = dpt jabatan"
