date,username,tweet_stem,score lexicon,sentiment lexicon,sentiment ML
2023-07-15 11:47:52+00:00,SholikhahWiwik,kabar ruu sehat sah perhati bukti dedikasi negara kapitalisme,-1,negative,negative
2023-07-15 11:44:11+00:00,adiawae,ruu sehat memcangkup ttg obat farmasi,0,negative,positive
2023-07-15 11:26:04+00:00,kompascom,idi bantu dokter diaspora mudah indonesia ruu sehat sah,5,positive,positive
2023-07-15 11:17:24+00:00,eksporjahe,ambune osjur fh ngomongke ruu sehat,3,positive,positive
2023-07-15 10:25:28+00:00,NordickVv,dukung ruu sehat ruu idi kuasa dokter indonesia paksa kerja disingapore karna izin praktik idi pulang praktik indonesia,4,positive,positive
2023-07-15 10:15:17+00:00,duniatransit,terima kasih dokter getol kampanye ruu sehat,8,positive,positive
2023-07-15 10:12:38+00:00,iyal_sepriant0,ruu sehat sah dpr liberalisasi sektor sehat uukesehatan,6,positive,positive
2023-07-15 10:10:35+00:00,tempodotco,polemik efek ruu sehat menteri sehat nakes asing penuh syarat temponasional,12,positive,positive
2023-07-15 10:04:36+00:00,AgusSug73163688,rakyat bingung puyeng batal ruu sehat batal ruu sehat,-8,negative,positive
2023-07-15 10:01:28+00:00,rahmatsn,teriak tolak ruu sehat semangat hadir acara nasdem besok nasdem salah dukung ruu kesehatankeblinger,-1,negative,negative
2023-07-15 09:03:44+00:00,rdr_id,mba makasih reportase idi ruu sehat objektif lepas dr idi birokrasi jamin lbh drpd tang idi produksi dokter kembang,7,positive,positive
2023-07-15 09:59:19+00:00,YoYoAyo17845,purapura bloon nat khan kritik ruu omnibus law sehat pasal masalah,-13,negative,negative
2023-07-15 08:41:55+00:00,ekojhones77,kabinet beani kaki koq koalisi ama oposisi pilpres koalisi perintah jokowi nasdem keras dukung ruu sehat oposisi tolak surya paloh nasdem,-6,negative,negative
2023-07-15 08:32:03+00:00,yustweet19des22,iya tara lintah darat gilir protes ruu sehat telinga tutup lintah mata mulut salur buang bedebah wakil rakyat lahir turun lintah,-7,negative,negative
2023-07-15 08:21:39+00:00,pujatvaceh,idi langsa tolak atur ruu sehat kait dokter asing,0,negative,negative
2023-07-15 08:10:00+00:00,tanyakanrl,abis baca berita ruu sehat bingung rugi gitu,-5,negative,positive
2023-07-15 08:01:02+00:00,dailysocial,perintah sepakat dpr ri kesah ruu sehat akselerasi manfaat teknologi biomedis simak jelas biomedis,10,positive,positive
2023-07-15 07:53:29+00:00,UzumakiYuuki1,insiden ruu omnibus law sehat blok steam program pse g manfaat korupsi ugal ugalan doyan impor beras jagung persen puas,6,positive,positive
2023-07-15 07:45:02+00:00,PetunjukSehat,kemenkes alas ruu sehat bentuk tinggi biaya bidang obat,5,positive,positive
2023-07-15 03:55:47+00:00,stelkendo_ae,gitu dukung ruu sehat hapus minimum spending,4,positive,positive
2023-07-15 03:53:32+00:00,ulem_,makasih budi dkk juang ruu sehat,7,positive,positive
2023-07-15 03:49:38+00:00,Dikdok_82,segar ruu sehat sah selamat dokter moga tambah rezeki,19,positive,positive
2023-07-15 03:47:28+00:00,Yahyanovita1,paham buruk wajah karakter kelompok didik ajar indonesia nama stovia orang cerdas sabar emosi singgung ego kalah ruu sehat,-16,negative,negative
2023-07-15 03:42:15+00:00,ch_chotimah2,moeldoko dokter tolak uu sehat kantor staf presiden ksp terima aspirasi tenaga sehat tuju ruu sehat tuju ksp tuju,10,positive,positive
2023-07-15 03:31:00+00:00,Joglosepur,kastrad news pasal rugi undangundang sehat praktik farmasi tenaga nonkefarmasian obat resep oleh fasilitas ruukesehatan farmasi,-5,negative,negative
2023-07-15 03:24:31+00:00,ardan_gibran,beneran kerja lho contoh ruu sehat jalan,8,positive,positive
2023-07-15 03:16:11+00:00,NehaJoh58719703,ruu sehat lahir sistem layan sehat indonesiamaju jokowi,5,positive,positive
2023-07-15 03:16:06+00:00,nailalalitarahm,ruu sehat lahir sistem layan sehat indonesiamaju jokowi,5,positive,positive
2023-07-15 03:15:48+00:00,AndreaW32141241,ruu sehat lahir sistem layan sehat indonesiamaju jokowi,5,positive,positive
2023-07-15 03:15:23+00:00,NehaJoh58719703,ruu sehat sederhana proses didik dokter spesialis indonesiamaju jokowi,6,positive,positive
2023-07-15 03:15:19+00:00,nailalalitarahm,ruu sehat sederhana proses didik dokter spesialis indonesiamaju jokowi,6,positive,positive
2023-07-15 03:14:59+00:00,AndreaW32141241,ruu sehat sederhana proses didik dokter spesialis indonesiamaju jokowi,6,positive,positive
2023-07-15 03:04:46+00:00,Andre11418869,ruu sehat lahir sistem layan sehat indonesiamaju jokowi,5,positive,positive
2023-07-15 03:04:39+00:00,Andre11418869,ruu sehat sederhana proses didik dokter spesialis indonesiamaju jokowi,6,positive,positive
2023-07-15 03:00:04+00:00,radarbanjarmsin,tolak dpr ri kesah kesah rancang undangundang ruu sehat omnibus law uu selasa jakarta,3,positive,positive
2023-07-15 02:41:43+00:00,ngopidisorehari,mending ruu ampas aset surpresnya ruu sehat surpresnya ghaib,-1,negative,negative
2023-07-15 02:27:29+00:00,pyurheroine,ribet nakesnya anjiiiirrrr ruu sehat sah rentan profesi nakes,-5,negative,negative
2023-07-15 02:25:05+00:00,putihamidah1,ruu prt kerja rumah tangga jamin sehat ketenagakerjaan madiun nganjuk jombang mojokerto nganjukkotaangin evakusumasundari evasundari perempuanberani ruuprt,3,positive,positive
2023-07-15 02:24:43+00:00,embah72,ruu sehat anggap catat kelam dunia medis indonesia idi rakyat berita putus mata rantai mafia dunia sehat berita itu angin segar dokter baik abdi monopoli idi dokter sumpah loh,-13,negative,negative
2023-07-15 02:22:33+00:00,kaniaeri2,ruu prt kerja rumah tangga jamin sehat ketenagakerjaan madiun nganjuk jombang mojokerto nganjukkotaangin evakusumasundari evasundari perempuanberani ruuprt,3,positive,positive
2023-07-15 01:57:11+00:00,panturapost,ruu sehat sah untung,5,positive,positive
2023-07-15 01:56:54+00:00,news_wanheart,pks kan alas tolak ruu sehat pagi anies presiden ezra narnia guru bk kertajati viagra kdrt shakira viagra,3,positive,positive
2023-07-15 01:44:01+00:00,Vegetto__,nakes dukung uu sehat isi ruu ilusi omong ajar omong dollar rb ekonomi roket esemka mobnas karna dukung jilat dpt jabat,-5,negative,negative
2023-07-15 01:26:14+00:00,parlinburman84,kerja nyari makan lupa makan rajin tolak ruu sehat jaga sehat uni,0,negative,negative
2023-07-15 00:49:43+00:00,zvastika,idi organisasi dokter sj dukung ruu sehat soekarno pimpin romusha,10,positive,positive
2023-07-15 00:31:43+00:00,OposisiCerdas,pks kan alas tolak ruu sehat,-1,negative,negative
2023-07-15 00:15:35+00:00,gtobing2903,pagi buka tweets izin tanggap d dunia ruu sehat setlh baca salin trnyt kelam pelintir sertifikat tenaga medis dr profesi dr lembaga kemenkes kemendikbud dr dl idi respek,-3,negative,negative
2023-07-15 00:03:57+00:00,Godam062,dokter priono rujuk ruu sehat,3,positive,positive
2023-07-14 23:25:06+00:00,Alamalika,pelan negeri caplok china narasi video hutang infrastruktur obor turn key projects tenaga sehat ruu sehat bahas hr nakes china pelosok indonesia,-1,negative,negative
2023-07-14 23:18:42+00:00,DokFun,kualitas kesah ruu sehat ngebut ferari ruu ampas aset biar jalan siput heuheuheu,4,positive,positive
2023-07-14 23:17:53+00:00,Yahyanovita1,lawan trio ubur ubur keok rakyat dukung nakes bukti komentar rakyat pro ruu sehat percaya rakyat hasil bubar politik,3,positive,positive
2023-07-14 22:54:38+00:00,RicKY_KCh,sulit terima akal sehat ekonomi tekan pandemi alokasi apbn infrastruktur banding anggar sehat proyek infrasruktur utama nasib rakyat abai demokratproperubahan ruukesehatan,1,positive,positive
2023-07-14 22:22:22+00:00,FR33D0ML4ND2_,dprdewan bantai rakyat dprri pimpin puan maharani aku cucu proklamator sukarno heroik patriotik bela penting pki oligarki kesah ruu sehat hati nurani rakyatcabutmandatjokowi rakyatcabutmandatjokowi,0,negative,negative
2023-07-14 22:20:34+00:00,AscMalike,tertawa menang karna sah ruu sehat,7,positive,positive
2023-07-14 22:00:05+00:00,TriziMeka,health all urgensi politik sehat islam catat agenda transformasi ruu sehat,9,positive,positive
2023-07-14 21:50:24+00:00,Yahyanovita1,takut nakes tidak jelas nasib sahkan ruu sehat takut negara bangkrut venezuela ekonomi negara hitung hitung krismon,-13,negative,negative
2023-07-14 21:28:51+00:00,barret_blue,siapsiapruu omnibus law sehat lolos undangundang capres jabat berani lawan tolak uu ham demokrasi dunia bawah perintah new world ordersatanic united nations pbb,-12,negative,negative
2023-07-14 21:26:16+00:00,PKSCibitung,tolak ruu sehat orenkeren,-1,negative,negative
2023-07-14 21:10:34+00:00,AhmadAr34758311,demokrat pks tuju ruu sehat gx dukung rakyat,6,positive,positive
2023-07-14 20:05:18+00:00,MDH__SNA,dpr sahkan ruu sehat undang undang selamat rakyat barang dagang cetak uang oligarki rakyat daya paksa tidur begal tamu jam sunyi bicara versi upgrade kotak suara pakai kotak kardus milu kosong,-8,negative,negative
2023-07-14 19:44:17+00:00,AzamJavas,gila dpr perintah gila bener kaya utang ugalugalanpantes suruh lengser dpr adem ayem mutuskan ruu kesehatansetan semuaiblis,-8,negative,negative
2023-07-14 19:14:42+00:00,DrEvaChaniago,kritisi kesah ruu sehat amat bijak publik sistem sehat nasional rawan bajak milik modal jakarta amat bijak publik upn veteran jakarta achmad nur hidayat nilai kesah ruu sehat uu sehat,14,positive,positive
2023-07-14 18:46:31+00:00,terangxgelap,tau ruu sehat hakkewajiban larang situ tulis wabah orang tolak vaksin vaksin berkalikali vaksin berkalikali tanggulang wabah putus jabat perintah,-21,negative,negative
2023-07-14 14:21:33+00:00,JazuliJuwaini,jazuli juwaini beber alas fraksi pks tolak ruu sehat,0,negative,negative
2023-07-14 14:19:42+00:00,JazuliJuwaini,fraksi pks tolak ruu sehat pihak rakyat hari terbit,-4,negative,negative
2023-07-14 14:18:54+00:00,JazuliJuwaini,fraksi pks dpr ri kan alas tolak ruu sehat pihak rakyat,-4,negative,negative
2023-07-14 14:16:29+00:00,G0P4NK_G0P4NG_7,selamat nikmat rakyat indonesia sah ruu sehat uu sehat,14,positive,positive
2023-07-14 14:13:51+00:00,nanodpu,pokok permasalahn ruu sehat sebenernya pangkas masyarakat salah meng highlight idi masalah tutup,-7,negative,negative
2023-07-14 14:13:18+00:00,Hasbil_Lbs,mas tum wartawan hadir taman politik dpp malam pidato politik ahy salah satu kait ruu sehat demokrat tolak poin utama hapus mandatory spending ruu sehat,-3,negative,negative
2023-07-14 14:11:50+00:00,wahyuhe6266,logo partai parati tolak ruu sehat orenkeren,-1,negative,negative
